pokemon_names,pokemon_cute,multiple_pokes_in_pic,photo_contrast_level,pokes_size_in_frame,looks_fluffy,original_image_source
Electrike,False,False,Low,Small,False,Twitter
Magneton,False,False,High,Small,False,Pixiv
Leafeon,False,False,Low,Large,False,Twitter
Magcargo,False,False,High,Small,False,Twitter
Clawitzer,False,False,Low,Large,False,Pixiv
Granbull,False,False,High,Large,False,Pixiv
Wartortle,False,False,High,Large,True,Twitter
Cherubi,True,False,Low,Large,True,Pixiv
Omanyte,False,False,Low,Large,False,Pixiv
Sunflora,False,False,High,Large,False,Twitter
Skiploom,False,False,High,Small,False,Twitter
Flygon,False,False,High,Small,False,Twitter
Oddish,False,False,High,Small,True,Twitter
Incineroar,False,True,High,Small,True,Twitter
Blissey,False,False,High,Small,True,Twitter
Genesect,False,False,High,Large,True,Twitter
Lopunny,False,True,High,Small,True,Twitter
Jolteon,False,False,High,Small,False,Twitter
Porygon-Z,False,False,Low,Small,False,Pixiv
Skorupi,False,True,High,Small,False,Twitter
Silcoon,True,True,Low,Large,True,Pixiv
Dragonair,False,False,Low,Large,True,Twitter
Porygon-Z,False,False,High,Large,False,Twitter
Sawsbuck,False,False,Low,Large,True,Pixiv
Popplio,False,False,High,Small,False,Twitter
Servine,False,False,High,Small,False,Pixiv
Sylveon,False,False,Low,Small,True,Pixiv
Luvdisc,False,False,High,Small,True,Pixiv
Dedenne,False,False,Low,Large,False,Pixiv
Trapinch,False,False,High,Small,False,Twitter
Weavile,False,False,Low,Small,False,Pixiv
Feraligatr,False,False,Low,Small,False,Twitter
Chimecho,False,False,Low,Large,True,Pixiv
Golbat,False,False,High,Large,True,Twitter
Chinchou,False,False,Low,Large,False,Twitter
Quilladin,False,False,High,Large,False,Pixiv
Wurmple,False,True,High,Large,False,Pixiv
Pikachu,True,False,High,Small,True,Twitter
Aggron,False,False,Low,Small,True,Pixiv
Spinarak,False,False,High,Small,False,Pixiv
Conkeldurr,False,False,Low,Small,True,Pixiv
Zorua,False,False,High,Large,False,Pixiv
Tyrogue,False,False,Low,Large,False,Twitter
Seismitoad,False,False,Low,Small,False,Pixiv
Floatzel,False,False,High,Small,False,Twitter
