pokemon_names,raw_rankings,poke_tiers,famous_artist,photo_brightness_level,photo_depth_of_field ,is_pokemon_larger_than_a_burrito,cute_classification_conv_net_feature_14,cute_classification_conv_net_feature_26,photo_night_or_day
Golduck ,4.014668175686735,S,false,high,low,true,non-zero,non-zero,night
Caterpie ,1.421260655857877,C,false,low,high,true,zero,non-zero,night
Poliwrath ,4.2825289218579154,S,true,high,low,true,zero,zero,day
Dodrio ,1.7482758561590905,B,false,high,high,true,zero,non-zero,night
Arcanine ,4.5,S,false,high,high,true,non-zero,non-zero,day
Zubat ,1.9106302656344265,B,false,high,high,true,non-zero,non-zero,night
Staryu ,3.843021829950108,S,false,high,low,true,non-zero,non-zero,night
Zubat ,0.5317717969676079,C,false,low,low,true,zero,non-zero,day
Gengar ,2.2197499641106546,B,false,low,high,true,non-zero,non-zero,night
Fearow ,4.5,S,true,high,low,true,non-zero,non-zero,day
Zubat ,0.7667667819266639,C,false,low,low,true,non-zero,non-zero,night
Rhyhorn ,4.5,S,true,low,low,true,zero,non-zero,night
Machop ,3.1647734004162973,A,false,low,low,true,zero,non-zero,night
Nidoran♂ ,2.1920272950123003,B,true,low,low,true,zero,non-zero,night
Vileplume ,3.975414266500405,S,false,high,low,true,zero,non-zero,night
Weepinbell ,2.431601310327356,B,false,high,low,true,non-zero,non-zero,night
Gengar ,0.5,C,false,high,high,true,zero,non-zero,day
Dewgong ,4.352782660087388,S,true,low,low,true,zero,non-zero,day
Tentacool ,4.5,S,false,low,high,true,zero,non-zero,night
Gastly ,2.2948792428296425,B,true,high,high,true,non-zero,non-zero,night
Kangaskhan ,1.7200082142059634,B,true,high,low,true,zero,non-zero,night
Charmeleon ,4.5,S,false,low,high,true,zero,zero,day
Dodrio ,2.1002099469755615,B,true,low,low,true,non-zero,non-zero,day
Nidorino ,1.8905023904164269,B,true,low,high,true,non-zero,zero,day
Nidoking ,3.478196049011083,A,false,low,high,true,zero,non-zero,day
Magikarp ,0.8745245703382336,C,false,low,low,true,zero,non-zero,night
Onix ,2.3337153806885675,B,true,high,low,true,zero,zero,day
Nidorina ,2.462702240677311,B,true,high,low,true,non-zero,non-zero,day
Electrode ,1.5948300774142354,B,false,low,low,true,non-zero,non-zero,day
Spearow ,2.9368707704495836,A,true,low,low,true,zero,zero,day
Zubat ,3.379600074976896,A,false,high,low,true,zero,non-zero,day
Magnemite ,4.5,S,true,low,low,true,zero,non-zero,night
Hypno ,1.5871397766778568,B,false,low,low,true,non-zero,non-zero,day
Gengar ,2.7852006218878627,A,true,high,low,true,zero,zero,night
Magneton ,1.3714778757142378,C,false,high,low,true,zero,non-zero,night
Eevee ,1.4274586186130167,C,false,low,high,true,non-zero,non-zero,day
Beedrill ,1.2803788864794592,C,false,low,high,true,non-zero,non-zero,night
Machamp ,3.5725959809693517,S,false,low,high,true,zero,zero,day
Electrode ,2.7664875425352338,A,true,low,high,true,zero,zero,day
Scyther ,2.48148621679894,B,true,high,low,true,zero,non-zero,day
Zubat ,2.694364108991487,A,true,low,low,true,zero,zero,day
Flareon ,3.548776060187718,S,true,low,low,true,zero,non-zero,day
Voltorb ,4.5,S,false,high,low,true,non-zero,non-zero,night
Gyarados ,3.4986548595435094,A,true,high,high,true,zero,zero,night
Golbat ,1.1008849873114144,C,false,high,low,true,zero,non-zero,day
Rattata ,0.8416667021795456,C,false,high,high,true,non-zero,non-zero,day
Wartortle ,4.5,S,true,low,high,true,zero,non-zero,night
Clefairy ,4.5,S,true,high,high,true,non-zero,non-zero,day
Meowth ,4.5,S,false,high,high,true,zero,zero,night
Golbat ,2.2274510206539726,B,false,high,high,true,non-zero,non-zero,night
Machop ,3.8665401860384407,S,false,high,low,true,non-zero,zero,night
Dugtrio ,0.8852887481853755,C,false,high,high,true,non-zero,zero,night
Exeggcute ,1.6972787160244789,B,true,low,high,true,non-zero,non-zero,day
Raichu ,1.8223055979927694,B,false,low,low,true,zero,non-zero,day
Psyduck ,4.5,S,false,high,high,true,non-zero,zero,night
Dugtrio ,3.4456423041764426,A,false,low,high,true,zero,non-zero,day
Parasect ,3.1303481736814556,A,true,low,low,true,zero,non-zero,night
Golbat ,3.3788537094981685,A,true,high,low,true,zero,non-zero,night
Golem ,4.5,S,false,low,low,true,zero,non-zero,night
Flareon ,3.656349413232806,S,true,low,low,true,zero,zero,night
Hitmonchan ,3.620616025687756,S,false,low,high,true,zero,non-zero,day
Pidgeot ,0.5,C,false,low,high,true,non-zero,non-zero,day
Charmander ,4.491293724296332,S,false,low,high,true,zero,zero,night
Shellder ,1.7411152139265327,B,false,low,low,true,zero,zero,day
Gengar ,1.6894477838599544,B,false,high,low,true,non-zero,non-zero,night
Electrode ,4.5,S,true,high,high,true,zero,non-zero,night
Pidgeot ,1.0296572650390576,C,false,high,low,true,zero,zero,day
Onix ,1.7985582659224113,B,false,low,high,true,zero,non-zero,night
Graveler ,4.5,S,true,high,high,true,non-zero,non-zero,day
Weedle ,1.9582429728458015,B,true,low,low,true,non-zero,non-zero,day
Fearow ,2.5759790271387253,A,true,high,high,true,zero,zero,day
Clefairy ,4.5,S,false,low,low,true,zero,non-zero,night
Weepinbell ,3.7004571192764155,S,false,high,high,true,zero,non-zero,day
Gastly ,3.2778045866780707,A,true,high,high,true,zero,non-zero,day
Aerodactyl ,4.427700463393407,S,false,high,low,true,non-zero,non-zero,night
Lickitung ,2.7041498922842786,A,false,high,high,true,zero,non-zero,day
Butterfree ,2.60021620338474,A,false,high,low,true,zero,zero,day
Eevee ,2.512348799117301,A,true,high,low,true,non-zero,non-zero,day
Lapras ,3.746704160697261,S,true,low,low,true,non-zero,non-zero,night
Fearow ,1.4928426398275836,C,false,high,high,true,zero,non-zero,day
Kangaskhan ,2.8412212941921466,A,true,low,high,true,non-zero,zero,night
Weezing ,3.2053083509796116,A,true,low,low,true,non-zero,non-zero,night
Rapidash ,2.7378554313172327,A,false,low,high,true,non-zero,non-zero,day
Weezing ,3.407737248495037,A,false,low,low,true,zero,non-zero,night
